Wien-Alter-Ausländische Herkunft | Vienna-Age-Foreign Background;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;.;.;1;87;1358;16;3;35;21;2;16;20;1;0;137;1107;20080101
AT1;AT13;AT130;.;.;1;88;945;18;0;28;12;1;12;19;0;1;103;751;20080101
AT1;AT13;AT130;.;.;1;89;548;7;1;14;5;2;3;13;0;2;57;444;20080101
AT1;AT13;AT130;.;.;1;90;432;1;2;11;7;0;6;5;0;2;43;355;20080101
AT1;AT13;AT130;.;.;1;91;377;1;0;12;4;1;3;6;0;2;44;304;20080101
AT1;AT13;AT130;.;.;1;92;349;1;2;10;3;3;4;3;0;0;35;288;20080101
AT1;AT13;AT130;.;.;1;93;325;2;1;6;2;1;2;6;0;1;29;275;20080101
AT1;AT13;AT130;.;.;1;94;247;4;0;2;3;1;1;5;0;1;20;210;20080101
AT1;AT13;AT130;.;.;1;95;179;2;0;4;0;1;0;4;0;1;14;153;20080101
AT1;AT13;AT130;.;.;1;96;97;1;0;1;0;0;0;1;0;0;8;86;20080101
AT1;AT13;AT130;.;.;1;97;85;0;0;0;0;0;1;2;0;0;11;71;20080101
AT1;AT13;AT130;.;.;1;98;42;0;0;0;0;0;1;1;0;1;3;36;20080101
AT1;AT13;AT130;.;.;1;99;28;0;0;0;0;0;0;0;0;0;0;28;20080101
AT1;AT13;AT130;.;.;1;100;10;0;0;0;0;0;0;1;0;0;1;8;20080101
AT1;AT13;AT130;.;.;1;101;6;0;0;0;0;0;0;1;0;0;1;4;20080101
AT1;AT13;AT130;.;.;1;102;5;1;0;0;0;0;0;0;0;1;1;2;20080101
AT1;AT13;AT130;.;.;1;103;3;0;0;0;0;0;0;0;0;0;0;3;20080101
AT1;AT13;AT130;.;.;1;104;1;0;0;0;0;0;0;0;0;0;0;1;20080101
AT1;AT13;AT130;.;.;1;107;2;0;0;0;0;0;0;0;0;0;1;1;20080101
AT1;AT13;AT130;.;.;2;0;8136;312;269;172;192;59;77;29;2;47;887;6090;20090101
AT1;AT13;AT130;.;.;2;1;8200;369;250;165;176;75;75;41;2;63;818;6166;20090101
AT1;AT13;AT130;.;.;2;2;8315;361;240;155;165;57;59;20;5;78;849;6326;20090101
AT1;AT13;AT130;.;.;2;3;7984;321;232;142;137;77;57;25;1;68;767;6157;20090101
AT1;AT13;AT130;.;.;2;4;7819;307;227;137;121;62;63;29;4;91;708;6070;20090101
AT1;AT13;AT130;.;.;2;5;7746;296;239;111;107;74;53;16;1;72;763;6014;20090101
AT1;AT13;AT130;.;.;2;6;7854;248;251;124;105;92;33;26;1;83;771;6120;20090101
AT1;AT13;AT130;.;.;2;7;7570;265;285;125;111;99;41;18;0;72;747;5807;20090101
AT1;AT13;AT130;.;.;2;8;7651;313;294;97;94;109;52;21;3;52;781;5835;20090101
AT1;AT13;AT130;.;.;2;9;7386;282;295;82;107;96;44;18;2;53;729;5678;20090101
AT1;AT13;AT130;.;.;2;10;7462;313;319;97;98;127;37;18;2;63;766;5622;20090101
AT1;AT13;AT130;.;.;2;11;7593;319;305;95;103;114;43;28;3;61;791;5731;20090101
AT1;AT13;AT130;.;.;2;12;7825;310;320;88;114;115;51;20;4;50;836;5917;20090101
AT1;AT13;AT130;.;.;2;13;7845;316;319;80;86;110;53;21;1;53;795;6011;20090101
AT1;AT13;AT130;.;.;2;14;8023;307;333;81;126;120;40;21;2;67;788;6138;20090101
AT1;AT13;AT130;.;.;2;15;7950;318;305;79;103;104;52;13;1;39;719;6217;20090101
AT1;AT13;AT130;.;.;2;16;8128;357;302;66;107;142;32;19;4;58;767;6274;20090101
AT1;AT13;AT130;.;.;2;17;8317;351;324;80;81;223;47;25;2;54;806;6324;20090101
AT1;AT13;AT130;.;.;2;18;8713;435;406;97;94;224;88;21;3;72;968;6305;20090101
AT1;AT13;AT130;.;.;2;19;9769;481;554;155;112;305;161;49;4;68;1192;6688;20090101
AT1;AT13;AT130;.;.;2;20;10746;569;658;234;163;317;242;66;5;78;1428;6986;20090101
AT1;AT13;AT130;.;.;2;21;11152;642;688;339;211;325;258;76;6;64;1584;6959;20090101
AT1;AT13;AT130;.;.;2;22;11550;601;760;384;208;343;293;72;6;75;1739;7069;20090101
AT1;AT13;AT130;.;.;2;23;11939;672;767;422;322;381;228;90;9;84;1881;7083;20090101
AT1;AT13;AT130;.;.;2;24;12707;690;794;468;322;429;269;94;11;79;2099;7452;20090101
AT1;AT13;AT130;.;.;2;25;13030;703;750;474;416;410;247;121;7;109;2225;7568;20090101
AT1;AT13;AT130;.;.;2;26;13441;698;748;517;400;344;271;113;8;102;2270;7970;20090101
AT1;AT13;AT130;.;.;2;27;13636;748;841;510;452;398;293;149;13;157;2337;7738;20090101
AT1;AT13;AT130;.;.;2;28;13368;737;787;519;496;341;326;131;17;139;2479;7396;20090101
AT1;AT13;AT130;.;.;2;29;12579;734;755;512;479;324;291;153;19;120;2362;6830;20090101
